City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Lagoa,PT,39.05,-27.9833,57.81,78,7,32.37,clear sky
231,Penukonda,IN,14.0833,77.5833,78.12,59,62,7.02,broken clouds
232,Alofi,NU,-19.0595,-169.9187,84.2,79,10,5.75,clear sky
233,Sumbe,AO,-11.2061,13.8437,79.99,89,78,3.33,broken clouds
234,Morki,RU,56.4303,48.9947,42.64,89,93,4.99,overcast clouds
235,Yulara,AU,-25.2406,130.9889,51.8,66,1,5.75,clear sky
236,Nizza Monferrato,IT,44.7738,8.3539,54.0,74,0,1.81,clear sky
237,Aguimes,ES,27.9054,-15.4461,69.8,73,75,2.3,broken clouds
238,Opuwo,NA,-18.0607,13.84,71.47,38,75,2.42,broken clouds
239,Hit,IQ,33.6416,42.8251,78.42,15,78,10.74,broken clouds
240,Kagadi,UG,0.9606,30.7967,62.19,98,96,3.04,light rain
241,Tari,NG,12.4086,4.4914,93.0,28,74,9.6,broken clouds
242,Akdepe,TM,42.0551,59.3788,64.4,32,0,9.22,clear sky
243,Barra Do Garcas,BR,-15.89,-52.2567,87.8,37,0,4.61,clear sky
244,Rapina,EE,58.0981,27.4636,37.4,87,90,12.66,overcast clouds
245,Necochea,AR,-38.5473,-58.7368,62.01,94,100,3.36,moderate rain
246,Mehamn,NO,71.0357,27.8492,33.8,80,20,10.36,light snow
247,Lucapa,AO,-8.4192,20.7447,67.66,91,96,0.49,overcast clouds
248,At-Bashi,KG,41.1702,75.8106,33.17,40,26,2.82,scattered clouds
249,Awbari,LY,26.5921,12.7805,83.21,9,4,7.96,clear sky
250,Inongo,CD,-1.95,18.2667,71.6,93,100,4.14,light rain
251,Chernyshevskiy,RU,63.0128,112.4714,22.77,96,87,8.03,overcast clouds
252,Kaspi,GE,41.9252,44.4257,55.4,76,0,9.22,clear sky
253,Salalah,OM,17.0151,54.0924,82.4,74,40,5.75,scattered clouds
254,Moerai,PF,-22.4333,-151.3333,77.54,66,41,12.39,scattered clouds
255,Flinders,AU,-34.5833,150.8552,50.0,81,89,1.01,overcast clouds
256,Luwuk,ID,-0.9516,122.7875,77.38,80,100,3.33,overcast clouds
257,Garowe,SO,8.4054,48.4845,78.46,70,69,11.41,broken clouds
258,Jieshi,CN,22.8134,115.8257,71.35,82,4,11.18,clear sky
259,Teya,RU,60.3778,92.6267,19.63,98,57,0.83,broken clouds
260,Nador,MA,35.174,-2.9287,62.6,82,75,11.5,broken clouds
261,Cayenne,GF,4.9333,-52.3333,79.0,94,75,1.14,moderate rain
262,Touros,BR,-5.1989,-35.4608,82.4,78,20,9.22,few clouds
263,Corner Brook,CA,48.9667,-57.9484,37.4,75,90,9.22,light rain
264,Rochegda,RU,62.8,43.25,47.57,80,82,9.55,broken clouds
265,Tripoli,LY,32.8752,13.1875,61.68,82,22,14.81,few clouds
266,Nouadhibou,MR,20.931,-17.0347,66.2,77,0,17.27,clear sky
267,Hervey Bay,AU,-25.2986,152.8535,59.0,78,64,3.0,broken clouds
268,Nantucket,US,41.2835,-70.0995,50.0,57,1,25.32,clear sky
269,Saint George,US,37.1041,-113.5841,81.0,10,1,18.41,clear sky
270,Abu Dhabi,AE,24.4667,54.3667,80.6,61,0,3.44,clear sky
271,Quelimane,MZ,-17.8786,36.8883,69.31,86,0,1.88,clear sky
272,Mangrol,IN,21.1167,70.1167,80.15,78,95,8.7,overcast clouds
273,Isangel,VU,-19.55,169.2667,82.4,78,20,3.44,few clouds
274,Vilhena,BR,-12.7406,-60.1458,82.4,69,20,6.91,few clouds
275,Valparaiso,CL,-33.0393,-71.6273,64.4,67,75,6.91,broken clouds
276,Montefiascone,IT,42.5393,12.0362,51.01,63,2,1.01,clear sky
277,Bilecik,TR,40.0,30.1667,57.2,62,0,10.36,clear sky
278,Lubango,AO,-14.9172,13.4925,65.61,51,99,2.98,overcast clouds
279,Luderitz,NA,-26.6481,15.1594,63.27,80,44,8.28,scattered clouds
280,Huaibei,CN,33.9744,116.7917,54.46,88,100,7.07,overcast clouds
281,Gurupa,BR,-1.405,-51.64,76.28,91,87,2.84,overcast clouds
282,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,40,5.75,scattered clouds
283,Baghdad,IQ,33.3406,44.4009,80.6,22,0,4.61,clear sky
284,Tam Ky,VN,15.5667,108.4833,78.8,94,20,3.44,few clouds
285,Torbay,CA,47.6666,-52.7314,42.8,70,75,21.85,broken clouds
286,Bilma,NE,18.6853,12.9164,89.8,9,45,9.28,scattered clouds
287,Krasnoselkup,RU,65.7,82.4667,28.94,89,91,16.91,overcast clouds
288,Chumikan,RU,54.7183,135.315,30.49,74,52,19.01,broken clouds
289,Uruguaiana,BR,-29.7547,-57.0883,80.6,65,20,2.3,few clouds
290,Nha Trang,VN,12.25,109.1833,78.8,83,20,2.3,few clouds
291,Svetlogorsk,BY,52.6333,29.7333,35.53,85,56,9.13,broken clouds
292,Rundu,NA,-17.9333,19.7667,63.07,41,19,6.98,few clouds
293,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,40,8.05,light rain
294,Severo-Kurilsk,RU,50.6789,156.125,36.16,92,95,8.12,overcast clouds
295,Barra Patuca,HN,15.8,-84.2833,82.72,64,10,12.53,clear sky
296,Ahualulco,MX,22.4,-101.1667,87.8,7,40,17.27,scattered clouds
297,Esperance,AU,-33.8667,121.9,57.2,88,96,12.66,overcast clouds
298,Abu Kamal,SY,34.4506,40.9171,75.85,17,14,6.6,few clouds
299,Sinnamary,GF,5.3833,-52.95,77.61,88,100,12.53,light rain
300,Atar,MR,20.5169,-13.0499,81.45,12,0,4.38,clear sky
301,Uyovu,TZ,-3.2833,31.5258,62.98,95,34,3.22,scattered clouds
302,Gat,IL,31.61,34.7642,66.99,100,74,3.33,broken clouds
