City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Amapa,BR,75.4,overcast clouds,1.0,-52.0,
109,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
112,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
119,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
120,Buchanan,LR,82.4,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
127,Oriximina,BR,80.19,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
131,Axim,GH,82.62,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
132,Santa Fe Do Sul,BR,84.49,clear sky,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
134,Faanui,PF,81.14,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Coahuayana,MX,87.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
141,Butaritari,KI,82.62,broken clouds,3.0707,172.7902,Isles Sunset Lodge
142,Namibe,AO,79.61,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
143,Boca Do Acre,BR,80.11,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
144,San Cristobal,VE,89.6,few clouds,7.7669,-72.225,Posada Villaven C.A.
148,Curaca,BR,84.25,overcast clouds,-8.9903,-39.9094,Curaca
152,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
155,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
158,Kavaratti,IN,83.77,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
159,Bulalacao,PH,79.09,overcast clouds,12.3254,121.3435,By The Sea Hotels
161,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
162,Lamu,KE,80.74,overcast clouds,-2.2717,40.902,Lamu House
165,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
173,Pemba,MZ,80.6,scattered clouds,-12.974,40.5178,Guesthouse Samotina
174,Aboso,GH,78.48,light rain,5.3617,-1.9473,New Atuabo
180,Pauini,BR,82.26,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
183,Carutapera,BR,77.34,light rain,-1.195,-46.02,Lidera
186,Isangel,VU,78.04,scattered clouds,-19.55,169.2667,Tanna Lodge
199,Kokopo,PG,76.21,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
215,Upata,VE,90.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
217,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
219,Padang,ID,76.68,overcast clouds,-0.9492,100.3543,Mercure Padang
220,Wattegama,LK,75.56,clear sky,6.7989,81.4808,
