City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Ancud,CL,2021-04-21 03:50:25,-41.8697,-73.8203,48.0,100,20,3.42
179,Huangchuan,CN,2021-04-21 03:50:25,32.1272,115.0394,57.83,92,100,5.91
180,Kavieng,PG,2021-04-21 03:50:26,-2.5744,150.7967,84.15,71,92,10.6
181,Anadyr,RU,2021-04-21 03:50:26,64.75,177.4833,21.2,93,20,1.5
182,Giaveno,IT,2021-04-21 03:50:26,45.047,7.3492,48.99,90,100,1.19
183,San Luis,AR,2021-04-21 03:50:27,-33.295,-66.3356,67.96,63,21,18.28
184,Padang,ID,2021-04-21 03:50:27,-0.9492,100.3543,87.8,66,20,5.75
185,Lompoc,US,2021-04-21 03:45:36,34.6391,-120.4579,53.6,76,89,11.5
186,Poso,ID,2021-04-21 03:49:02,-1.3959,120.7524,87.78,58,31,6.55
187,East London,ZA,2021-04-21 03:45:38,-33.0153,27.9116,59.0,94,20,3.44
188,Codrington,AU,2021-04-21 03:50:28,-38.2667,141.9667,55.22,49,100,13.53
189,Pahrump,US,2021-04-21 03:46:33,36.2083,-115.9839,75.2,8,1,17.27
190,Byron Bay,AU,2021-04-21 03:48:57,-28.65,153.6167,80.6,29,0,13.8
191,Khatanga,RU,2021-04-21 03:50:29,71.9667,102.5,6.66,90,100,6.24
192,Samana,DO,2021-04-21 03:50:29,19.2056,-69.3369,74.73,84,5,6.96
193,Bomet,KE,2021-04-21 03:50:30,-0.7813,35.3416,54.12,98,89,2.19
194,Lorengau,PG,2021-04-21 03:50:30,-2.0226,147.2712,85.64,69,100,12.77
195,Manchester,GB,2021-04-21 03:50:31,53.4809,-2.2374,48.0,81,99,12.66
196,Saskylakh,RU,2021-04-21 03:50:31,71.9167,114.0833,6.26,81,56,3.06
197,Wake Forest,US,2021-04-21 03:49:26,35.9799,-78.5097,60.01,59,4,8.14
198,Ponta Do Sol,PT,2021-04-21 03:50:32,32.6667,-17.1,57.0,68,72,1.01
199,Volokolamsk,RU,2021-04-21 03:49:04,56.0336,35.9694,35.22,99,100,5.48
200,Tamazunchale,MX,2021-04-21 03:50:32,21.2667,-98.7833,69.3,87,80,2.35
201,San Patricio,US,2021-04-21 03:50:33,28.017,-97.5169,68.0,83,1,3.44
202,Petropavlovsk-Kamchatskiy,RU,2021-04-21 03:50:33,53.0452,158.6483,42.8,75,90,2.24
203,Ginda,IN,2021-04-21 03:50:33,30.6945,78.4932,65.7,44,65,5.88
204,Port Hardy,CA,2021-04-21 03:50:34,50.6996,-127.4199,50.0,76,20,2.3
205,Hithadhoo,MV,2021-04-21 03:50:34,-0.6,73.0833,82.58,65,4,4.56
206,Kavaratti,IN,2021-04-21 03:50:35,10.5669,72.642,84.04,72,98,8.72
207,Langxiang,CN,2021-04-21 03:50:35,46.95,128.8833,69.91,15,1,4.81
208,Roma,US,2021-04-21 03:50:18,43.2128,-75.4557,35.6,69,1,5.75
209,Seoul,KR,2021-04-21 03:45:48,37.5683,126.9778,77.0,27,78,4.61
210,Tuktoyaktuk,CA,2021-04-21 03:50:37,69.4541,-133.0374,14.0,79,90,14.97
211,Khasan,RU,2021-04-21 03:50:38,42.4308,130.6434,54.45,42,1,8.37
212,La Paz,BO,2021-04-21 03:50:39,-16.5,-68.15,37.4,75,20,2.3
213,Aubenas,FR,2021-04-21 03:50:40,44.6201,4.3899,48.0,72,100,1.01
214,Wanaka,NZ,2021-04-21 03:50:41,-44.7,169.15,60.01,61,25,1.01
215,Itarema,BR,2021-04-21 03:50:42,-2.9248,-39.9167,75.65,88,77,4.18
216,Labuhan,ID,2021-04-21 03:50:43,-6.8844,112.2051,85.69,58,29,3.04
217,Salalah,OM,2021-04-21 03:50:44,17.0151,54.0924,80.6,74,0,1.14
218,Richards Bay,ZA,2021-04-21 03:47:40,-28.783,32.0377,63.59,89,8,4.7
219,Namibe,AO,2021-04-21 03:50:44,-15.1961,12.1522,79.72,79,5,2.59
220,Pale,BA,2021-04-21 03:50:45,43.8161,18.5694,39.2,93,75,2.3
221,Yulara,AU,2021-04-21 03:50:45,-25.2406,130.9889,77.0,18,0,9.22
222,Veinticinco De Mayo,AR,2021-04-21 03:50:46,-35.4323,-60.1727,63.0,92,20,3.0
223,Tuatapere,NZ,2021-04-21 03:50:46,-46.1333,167.6833,48.99,94,100,11.01
224,Kieta,PG,2021-04-21 03:50:46,-6.2167,155.6333,84.96,70,33,3.98
225,Cabo San Lucas,MX,2021-04-21 03:50:47,22.8909,-109.9124,72.0,64,1,6.91
226,Severnyy,RU,2021-04-21 03:50:47,50.677,36.5532,39.2,100,90,8.95
227,Kulunda,RU,2021-04-21 03:50:48,52.566,78.9385,35.26,32,95,16.26
228,Kristiansund,NO,2021-04-21 03:50:48,63.1115,7.732,37.4,87,90,8.05
229,Quatre Cocos,MU,2021-04-21 03:50:50,-20.2078,57.7625,79.0,83,75,5.75
230,Gizo,SB,2021-04-21 03:50:50,-8.103,156.8419,84.88,69,88,1.59
231,Manokwari,ID,2021-04-21 03:50:50,-0.8667,134.0833,82.63,71,93,5.03
232,Akdepe,TM,2021-04-21 03:50:51,42.0551,59.3788,46.4,46,0,11.5
233,Sao Miguel Do Araguaia,BR,2021-04-21 03:50:53,-13.275,-50.1628,69.98,88,8,1.32
234,Deputatskiy,RU,2021-04-21 03:50:53,69.3,139.9,20.5,92,100,3.56
235,Marawi,PH,2021-04-21 03:50:54,7.9986,124.2928,84.0,76,100,4.0
236,Batemans Bay,AU,2021-04-21 03:50:55,-35.7167,150.1833,62.01,61,99,4.0
237,Ust-Kuyga,RU,2021-04-21 03:50:56,70.0167,135.6,20.34,77,100,10.42
238,Tual,ID,2021-04-21 03:50:56,-5.6667,132.75,83.1,72,93,6.91
239,Belmonte,BR,2021-04-21 03:50:57,-15.8631,-38.8828,73.4,94,0,3.44
240,Beloha,MG,2021-04-21 03:50:58,-25.1667,45.05,69.39,79,40,11.32
241,Port Blair,IN,2021-04-21 03:51:00,11.6667,92.75,86.0,79,20,1.14
242,Sydney,AU,2021-04-21 03:46:20,-33.8679,151.2073,69.01,48,0,17.27
243,Svetlogorsk,BY,2021-04-21 03:51:01,52.6333,29.7333,40.93,88,99,5.19
244,Borodino,RU,2021-04-21 03:51:02,55.9106,94.8983,26.53,55,65,9.22
245,Atuona,PF,2021-04-21 03:51:03,-9.8,-139.0333,80.38,76,21,19.15
246,Shizuishan,CN,2021-04-21 03:51:04,39.2333,106.7694,67.91,37,100,11.43
247,Porbandar,IN,2021-04-21 03:51:05,21.6422,69.6093,82.4,78,40,11.5
248,Barguzin,RU,2021-04-21 03:51:05,53.6167,109.6167,32.63,70,100,9.69
249,Pangody,RU,2021-04-21 03:51:06,65.85,74.4859,17.71,89,73,8.63
250,Kousseri,CM,2021-04-21 03:51:07,12.0769,15.0306,83.25,10,31,9.19
